report_period_start,report_period_end,interval_start,interval_end,node,namespace,pod,pod_usage_cpu_core_seconds,pod_request_cpu_core_seconds,pod_limit_cpu_core_seconds,pod_usage_memory_byte_seconds,pod_request_memory_byte_seconds,pod_limit_memory_byte_seconds,node_capacity_cpu_cores,node_capacity_cpu_core_seconds,node_capacity_memory_bytes,node_capacity_memory_byte_seconds,resource_id,pod_labels
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,open-cluster-management-agent,klusterlet-64dd9cc648-7v7jp,17.677285,,,929562624000.000000,,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:klusterlet|label_pod_template_hash:64dd9cc648
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-apiserver,apiserver-585c95b857-tgzsf,78.659330,396.000000,,3949335183360.000000,943718400000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_apiserver:true|label_app:openshift-apiserver-a|label_openshift_apiserver_anti_affinity:true|label_pod_template_hash:585c95b857|label_revision:1
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-sdn,sdn-controller-pcmrz,1.176081,36.000000,,271736832000.000000,188743680000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:sdn-controller|label_controller_revision_hash:544fc9b5fb|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-image-registry,node-ca-8l8cb,0.373278,36.000000,,294980321280.000000,37748736000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_controller_revision_hash:6557fcc99f|label_name:node-ca|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-cluster-storage-operator,cluster-storage-operator-6ffdc6fb5f-8gxtk,20.888026,36.000000,,677761843200.000000,75497472000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_name:cluster-storage-operator|label_pod_template_hash:6ffdc6fb5f
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-kube-apiserver,revision-pruner-13-os-ctrl-2,,540.000000,540.000000,,720000000000.000000,720000000000.000000,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:pruner
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-machine-config-operator,machine-config-server-7ts59,0.294055,72.000000,,154742292480.000000,188743680000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_controller_revision_hash:849f68cbd|label_k8s_app:machine-config-server|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-kni-infra,keepalived-os-ctrl-2,182.324515,720.000000,,776141783040.000000,1509949440000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_app:kni-infra-vrrp
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-service-ca-operator,service-ca-operator-547bb68dfb-qzjm9,19.436793,36.000000,,282992394240.000000,301989888000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:service-ca-operator|label_pod_template_hash:547bb68dfb
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-console-operator,console-operator-8489978f8-58xmp,26.118262,36.000000,,558686699520.000000,377487360000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_name:console-operator|label_pod_template_hash:8489978f8
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-apiserver,apiserver-585c95b857-9gx8n,80.202964,396.000000,,3920559882240.000000,943718400000.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_apiserver:true|label_app:openshift-apiserver-a|label_openshift_apiserver_anti_affinity:true|label_pod_template_hash:585c95b857|label_revision:1
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-2,openshift-machine-config-operator,machine-config-server-x7btw,0.296996,72.000000,,149048524800.000000,188743680000.000000,,32.000000,115200.000000,405709991936.000000,1460555970969600.000000,20350a8d-2ccc-4868-b447-5e2ac1dc2b92,label_controller_revision_hash:849f68cbd|label_k8s_app:machine-config-server|label_pod_template_generation:2
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,openshift-monitoring,thanos-querier-69998c5668-z7jhl,43.355702,32.400000,,999618969600.000000,347288371200.000000,,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app_kubernetes_io_component:query-layer|label_app_kubernetes_io_instance:thanos-querier|label_app_kubernetes_io_name:thanos-query|label_app_kubernetes_io_version:0.12.0|label_pod_template_hash:69998c5668
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-0,openshift-multus,multus-hv94n,7.589368,36.000000,,61939875840.000000,566231040000.000000,,32.000000,115200.000000,135127363584.000000,486458508902400.000000,69428079-c425-49a8-9adc-1105a6653908,label_app:multus|label_component:network|label_controller_revision_hash:fdcc7449f|label_openshift_io_component:network|label_pod_template_generation:2|label_type:infra
2021-04-01 00:00:00 +0000 UTC,2021-05-01 00:00:00 +0000 UTC,2021-04-29 19:00:00 +0000 UTC,2021-04-29 19:59:59 +0000 UTC,os-ctrl-1,open-cluster-management-agent-addon,klusterlet-addon-appmgr-7b9f9f6d9f-g2c5n,13.804946,,,1073051566080.000000,483183820800.000000,7730941132800.000000,32.000000,115200.000000,135107141632.000000,486385709875200.000000,376e9295-c544-479e-9563-be448561ad46,label_app:application-manager|label_chart:application-manager-2.2.0|label_component:application-manager|label_controller:operator|label_heritage:Helm|label_pod_template_hash:7b9f9f6d9f|label_release:klusterlet-addon-appmgr
